title,description,company_name,company_logo_url,location,salary_range,job_type,application_method,application_value,contact_email,contact_name,posted_by_member_id,is_member_post,status,payment_status,stripe_payment_intent_id,stripe_checkout_session_id,amount_paid,expiry_date,closing_date,featured,id,created_date,updated_date,created_by_id,created_by,is_sample,hours,posted_by_organization_id,posted_by_organization_name,attachment_urls,attachment_names
Careers Adviser - Student Futures Team,"We are seeking an experienced Careers Adviser to join our dynamic Student Futures team. You will provide high-quality careers guidance to undergraduate and postgraduate students across all disciplines, delivering one-to-one appointments, group workshops, and employer engagement activities.

Key responsibilities:
• Deliver impartial careers information, advice and guidance
• Develop and deliver engaging workshops and presentations
• Build relationships with employers and manage recruitment activities
• Contribute to the development of innovative careers programmes
• Maintain accurate records and contribute to service evaluation

The ideal candidate will have a relevant qualification (QCG, NVQ Level 6 or equivalent) and experience of working in careers guidance within higher education.",University of Manchester,https://images.unsplash.com/photo-1562774053-701939374585?w=400&h=400&fit=crop,"Manchester, UK","£32,000 - £38,000",Full-time,url,https://jobs.manchester.ac.uk,recruitment@manchester.ac.uk,Sarah Johnson,,true,active,N/A,,,,2026-03-31T23:59:59Z,2025-11-15T23:59:59Z,true,6911f095bdf6885837f0dd09,2025-11-10T14:03:01.226000,2025-11-10T14:34:41.018000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Head of Employability and Enterprise,"An exciting opportunity has arisen to lead our Employability and Enterprise service. Reporting to the Director of Student Services, you will be responsible for developing and implementing a strategic vision for employability across the university.

Key responsibilities:
• Provide strategic leadership for the employability service
• Manage a team of careers advisers and enterprise coordinators
• Develop partnerships with employers and industry bodies
• Design and deliver innovative employability programmes
• Monitor and report on key performance indicators
• Manage budgets and resources effectively

We are looking for an inspirational leader with significant experience in careers and employability within higher education, excellent strategic thinking skills, and a track record of successful team management.",University of Edinburgh,https://images.unsplash.com/photo-1541339907198-e08756dedf3f?w=400&h=400&fit=crop,"Edinburgh, Scotland","£48,000 - £55,000",Full-time,email,jobs@ed.ac.uk,hr@ed.ac.uk,David Robertson,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,true,6911f095bdf6885837f0dd0a,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Employability Coordinator - Business School,"Join our Business School team as an Employability Coordinator. You will work with staff and students to embed employability throughout the curriculum and enhance graduate outcomes.

Key activities include:
• Supporting academic staff with employability curriculum development
• Coordinating employer engagement activities and events
• Managing internship and placement programmes
• Analysing graduate outcomes data
• Creating employability resources and materials

Ideal for someone with experience in employability or careers work, strong project management skills, and knowledge of the business and management sector.",Durham University,https://images.unsplash.com/photo-1523050854058-8df90110c9f1?w=400&h=400&fit=crop,"Durham, UK","£28,000 - £32,000",Full-time,url,https://durham.ac.uk/jobs,recruitment@durham.ac.uk,Emma Thompson,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,false,6911f095bdf6885837f0dd0b,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Senior Careers Consultant (International Students),"We have an exciting opportunity for a Senior Careers Consultant specializing in supporting international students. You will design and deliver targeted careers support for our diverse international student community.

Responsibilities:
• Provide specialist one-to-one careers guidance to international students
• Develop workshops addressing visa regulations, UK job market, and global careers
• Build partnerships with employers who welcome international graduates
• Create resources tailored to international student needs
• Train and mentor junior team members

Essential: QCG or equivalent qualification, experience supporting international students, knowledge of visa regulations and the international graduate job market.",King's College London,https://images.unsplash.com/photo-1564981797816-1043664bf78d?w=400&h=400&fit=crop,"London, UK","£38,000 - £43,000",Full-time,url,https://kcl.ac.uk/careers,careers@kcl.ac.uk,Priya Sharma,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,false,6911f095bdf6885837f0dd0c,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Digital Content Creator - Careers Service,"Looking for a creative individual to develop engaging digital content for our Careers Service. You'll create videos, podcasts, social media content, and online resources to support student career development.

Key tasks:
• Produce video content including employer interviews and career tips
• Manage social media channels and create engaging posts
• Design infographics and digital resources
• Coordinate podcast series featuring alumni and employers
• Monitor analytics and optimize content strategy

Ideal candidate will have experience in digital content creation, knowledge of social media platforms, and an interest in career development and employability.",University of Bristol,https://images.unsplash.com/photo-1516321497487-e288fb19713f?w=400&h=400&fit=crop,"Bristol, UK","£26,000 - £30,000",Full-time,email,careers.recruitment@bristol.ac.uk,careers.recruitment@bristol.ac.uk,Michael Chen,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,false,6911f095bdf6885837f0dd0d,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Placement Officer - Engineering,"The Engineering Faculty is seeking a Placement Officer to coordinate and support our year-in-industry placement programme.

You will:
• Recruit employer partners and negotiate placement opportunities
• Support students through the placement application process
• Conduct placement visits and maintain employer relationships
• Manage placement documentation and compliance
• Organize placement preparation workshops

This role requires excellent relationship management skills, attention to detail, and ideally some knowledge of the engineering sector. Previous experience in placement coordination or employer engagement is desirable.",University of Southampton,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=400&h=400&fit=crop,"Southampton, UK","£27,000 - £31,000",Full-time,url,https://southampton.ac.uk/jobs,engineering.jobs@soton.ac.uk,Rachel Green,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,false,6911f095bdf6885837f0dd0e,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Enterprise Development Officer,"Join our award-winning Enterprise team to support student entrepreneurship and innovation. You will help students develop their business ideas and create successful start-ups.

Key responsibilities:
• Deliver one-to-one business coaching to student entrepreneurs
• Design and run enterprise workshops and bootcamps
• Manage the student start-up incubator programme
• Source funding opportunities and support grant applications
• Organize networking events with entrepreneurs and investors

We're looking for someone with business experience, coaching skills, and a passion for supporting young entrepreneurs. Experience of start-ups or small business development is highly desirable.",University of Warwick,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=400&fit=crop,"Coventry, UK","£30,000 - £35,000",Full-time,url,https://warwick.ac.uk/services/jobs,enterprise@warwick.ac.uk,James Wilson,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,true,6911f095bdf6885837f0dd0f,2025-11-10T14:03:01.226000,2025-11-10T14:15:03.924000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,,
Careers Adviser (Part-time),"We are looking for an experienced Careers Adviser to join our team on a part-time basis (0.6 FTE). You will provide careers guidance to students across all disciplines and contribute to our programme of careers events and activities.

Essential requirements:
• Recognized careers guidance qualification (Level 6 Diploma or equivalent)
• Experience of one-to-one careers guidance
• Knowledge of the graduate labor market
• Excellent communication skills

This is a great opportunity for someone looking for flexible working arrangements while making a real difference to student outcomes.",University of Leeds,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=400&h=400&fit=crop,"Leeds, UK","£32,000 - £35,000 pro rata",Part-time,email,careers.hr@leeds.ac.uk,careers.hr@leeds.ac.uk,Lisa Patel,,true,active,N/A,,,,2026-03-31T23:59:59Z,2026-01-15T23:59:59Z,false,6911f095bdf6885837f0dd10,2025-11-10T14:03:01.226000,2025-11-10T16:54:35.416000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false,,,,"[""https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/9ff858fa7_return_labels-2025-11-03-09-03-48.pdf""]","[""return_labels-2025-11-03-09-03-48.pdf""]"
test,test,Abertay University,,london,,Full-time,email,mat@isaasi.co.uk,mat@isaasi.co.uk,Mat Henderson,68f26c073c795ca5818bfcd7,true,pending_approval,N/A,,,,,2025-11-27T23:59:59Z,false,69123b3255633f1e03f14490,2025-11-10T19:21:22.294000,2025-11-10T19:21:22.294000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false,Full-time,883813000001519844,,"[]","[]"
TEST Careers Adviser,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin a cursus ex, eget vehicula nisi. Donec at ipsum augue. Sed gravida tortor in velit bibendum, mattis maximus diam facilisis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Fusce ut velit magna. Maecenas ac tortor non sem dictum placerat at placerat justo. Cras aliquet, justo finibus tempor pretium, nulla leo luctus massa, eget laoreet purus est non est. Nunc sed nisl quis augue volutpat rhoncus. Sed vulputate, libero ut rhoncus lobortis, diam dui porta libero, at vehicula quam lorem vel mauris. Phasellus sit amet ligula malesuada nisi laoreet scelerisque. Donec id dapibus risus. Aliquam vel elit in sem volutpat pulvinar.

Curabitur magna eros, sagittis vitae libero in, varius rhoncus erat. Aliquam erat volutpat. Cras et elementum mauris, eget tristique arcu. Etiam pretium dui enim, vel egestas purus tincidunt vitae. Phasellus nec viverra mi, quis pulvinar nulla. Duis pretium vel libero consectetur tincidunt. Donec a magna eget nisi rutrum tincidunt. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Ut id hendrerit eros. Morbi consectetur faucibus orci sit amet cursus. Cras vestibulum pellentesque justo quis scelerisque. Sed non diam molestie, iaculis tellus vel, molestie dolor. Nullam sit amet gravida quam. Sed felis tortor, finibus vitae arcu sit amet, ultricies pellentesque nunc. Phasellus non libero gravida, bibendum urna eu, porta leo.

Nam commodo nunc ex, vitae accumsan odio egestas et. Suspendisse viverra tincidunt rutrum. Ut sodales ligula sit amet suscipit efficitur. Suspendisse consequat condimentum faucibus. In pretium rutrum elit sed feugiat. Nam sed arcu eget ipsum iaculis placerat eu sed nibh. Nam vitae tristique orci. Suspendisse consectetur elit eget efficitur egestas. Quisque eleifend dignissim lectus, ut convallis dui vulputate non. Sed sed vulputate lectus. Praesent varius malesuada nisl quis lacinia. Curabitur ac leo ante. Aliquam ornare nibh feugiat est tempus tincidunt.

Donec quis fringilla tellus, a imperdiet mauris. Vivamus neque tortor, egestas sed fermentum id, imperdiet et metus. Suspendisse et purus non libero gravida vehicula. Curabitur vulputate neque a congue mollis. Morbi suscipit dapibus enim, ut accumsan sapien vestibulum vehicula. Donec et interdum erat. Nam lorem erat, sollicitudin eu sodales sit amet, tincidunt sed quam. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Maecenas sit amet urna id justo venenatis interdum. Integer euismod aliquet quam. Praesent pellentesque tempor velit, id accumsan nibh tincidunt consectetur. Maecenas urna enim, elementum et molestie sit amet, dapibus eu eros. In vel cursus nisi. Curabitur nec justo placerat, rhoncus tellus vel, volutpat leo.

Aenean egestas, libero et tristique aliquet, magna sem dictum odio, non luctus ipsum diam vitae sapien. Mauris dapibus nibh id lobortis luctus. Duis molestie metus quam, a auctor dui bibendum eget. In hac habitasse platea dictumst. Etiam ante eros, vestibulum non dui sit amet, ultrices semper neque. Morbi lacinia risus quis lobortis finibus. Aliquam quis ipsum quis massa mattis lacinia imperdiet at odio. Duis cursus nulla ipsum, at blandit magna vestibulum sit amet.",AGCAS,https://base44.app/api/apps/68efc20f3e0a30fafad6dde7/files/public/68efc20f3e0a30fafad6dde7/87ae93453_AGCAS-logo-110x30.jpg,Manchester,"39,000 - 40,000",Full-time,url,https://www.bbc.co.uk/news,eleanor.brierley@agcas.org.uk,Eleanor Brierley,68f7999d147f118cef90ac83,true,active,N/A,,,,,2025-11-30T23:59:59Z,false,691351b591a3f4077b22262f,2025-11-11T15:09:41.750000,2025-11-11T15:11:19.692000,service_9d076144-626b-48b5-85cf-5069ddbffdcd,service+9d076144-626b-48b5-85cf-5069ddbffdcd@no-reply.base44.com,false,Full-time,883813000001905029,,"[]","[]"
