name,element_type,description,icon,category,default_content,available_variants,content_schema,is_active,display_order,id,created_date,updated_date,created_by_id,created_by,is_sample
Hero Banner,hero,"Large banner section with heading, subheading, and call-to-action button",Layout,layout,"{""heading"":""Welcome to Our Website"",""subheading"":""Create amazing experiences with our platform"",""buttonText"":""Get Started"",""buttonLink"":""#""}","[""default"",""dark"",""light""]","{""type"":""object"",""properties"":{""heading"":{""type"":""string"",""title"":""Main Heading"",""placeholder"":""Enter main heading""},""subheading"":{""type"":""string"",""title"":""Subheading"",""placeholder"":""Enter subheading"",""format"":""textarea""},""buttonText"":{""type"":""string"",""title"":""Button Text"",""placeholder"":""e.g., Learn More""},""buttonLink"":{""type"":""string"",""title"":""Button Link"",""placeholder"":""e.g., /about""}}}",true,0,691253cedad57151032f03b1,2025-11-10T21:06:22.103000,2025-11-16T07:57:21.801000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Text Block,text_block,Rich text content block with optional heading (supports Markdown),Type,content,"{""heading"":""Section Heading"",""text"":""This is a text block. You can use **Markdown** formatting for _rich text_.\n\n- Bullet points\n- Are supported\n- As well""}","[""default"",""centered"",""large""]","{""type"":""object"",""properties"":{""heading"":{""type"":""string"",""title"":""Heading (Optional)"",""placeholder"":""Enter section heading""},""text"":{""type"":""string"",""title"":""Content"",""placeholder"":""Enter your content here (Markdown supported)"",""format"":""textarea""}}}",true,1,691253cedad57151032f03b2,2025-11-10T21:06:22.103000,2025-11-10T21:06:22.103000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Two Column Layout,two_column,Side-by-side content sections with headings,Layout,layout,"{""leftHeading"":""Left Column"",""leftContent"":""Content for the left column goes here."",""rightHeading"":""Right Column"",""rightContent"":""Content for the right column goes here.""}","[""default"",""60-40"",""40-60""]","{""type"":""object"",""properties"":{""leftHeading"":{""type"":""string"",""title"":""Left Column Heading"",""placeholder"":""Enter heading""},""leftContent"":{""type"":""string"",""title"":""Left Column Content"",""placeholder"":""Enter content (Markdown supported)"",""format"":""textarea""},""rightHeading"":{""type"":""string"",""title"":""Right Column Heading"",""placeholder"":""Enter heading""},""rightContent"":{""type"":""string"",""title"":""Right Column Content"",""placeholder"":""Enter content (Markdown supported)"",""format"":""textarea""}}}",true,3,691253cedad57151032f03b4,2025-11-10T21:06:22.103000,2025-11-10T21:06:22.103000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Call-to-Action Button,cta_button,Standalone button with customizable link and styling,Zap,interactive,"{""text"":""Click Here"",""link"":""#"",""alignment"":""center"",""openInNewTab"":false}","[""default"",""primary"",""secondary"",""success""]","{""type"":""object"",""properties"":{""text"":{""type"":""string"",""title"":""Button Text"",""placeholder"":""e.g., Learn More""},""link"":{""type"":""string"",""title"":""Link URL"",""placeholder"":""e.g., /contact""},""alignment"":{""type"":""string"",""title"":""Alignment"",""enum"":[""left"",""center"",""right""]},""openInNewTab"":{""type"":""boolean"",""title"":""Open in New Tab""}},""required"":[""text"",""link""]}",true,4,691253cedad57151032f03b5,2025-11-10T21:06:22.103000,2025-11-10T21:06:22.103000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Image,image,Single image with optional caption,Image,media,"{""imageUrl"":""https://images.unsplash.com/photo-1557683316-973673baf926"",""altText"":""Placeholder image"",""caption"":""""}","[""default"",""rounded"",""circle"",""none""]","{""type"":""object"",""properties"":{""imageUrl"":{""type"":""string"",""title"":""Image URL"",""placeholder"":""Enter image URL or upload""},""altText"":{""type"":""string"",""title"":""Alt Text"",""placeholder"":""Describe the image for accessibility""},""caption"":{""type"":""string"",""title"":""Caption (Optional)"",""placeholder"":""Image caption""}},""required"":[""imageUrl""]}",true,2,691253cedad57151032f03b3,2025-11-10T21:06:22.103000,2025-11-10T21:06:22.103000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Image Hero,image_hero,Full-width hero section with layered background and foreground images. Perfect for creating framed hero sections with transparent overlays.,Layers,media,"{""backgroundImageUrl"":"""",""foregroundImageUrl"":"""",""height"":""medium"",""contentAlignment"":""center"",""overlayOpacity"":0}","[""default""]","{""type"":""object"",""properties"":{""backgroundImageUrl"":{""type"":""string"",""title"":""Background Image URL"",""description"":""The main background image (typically a photo of a person or scene)"",""format"":""uri""},""foregroundImageUrl"":{""type"":""string"",""title"":""Foreground Frame Image URL"",""description"":""Transparent PNG image that frames the background (with knockout/transparent areas)"",""format"":""uri""},""height"":{""type"":""string"",""title"":""Hero Height"",""enum"":[""small"",""medium"",""large"",""full-screen""],""default"":""medium"",""description"":""The vertical height of the hero section""},""contentAlignment"":{""type"":""string"",""title"":""Content Alignment"",""enum"":[""left"",""center"",""right""],""default"":""center"",""description"":""Horizontal alignment for any overlay content""},""overlayOpacity"":{""type"":""number"",""title"":""Dark Overlay Opacity"",""minimum"":0,""maximum"":100,""default"":0,""description"":""Optional dark overlay between background and foreground (0-100)""}},""required"":[""backgroundImageUrl"",""foregroundImageUrl""]}",true,6,6914335e1fdb8744c39fb37a,2025-11-12T07:12:30.884000,2025-11-12T07:20:52.323000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Wall of Fame,wall_of_fame,"Display sections of people (staff, board, etc.) with interactive profile cards",Users,media,"{""section_id"":""""}","[""default""]","{""type"":""object"",""properties"":{""section_id"":{""type"":""string"",""title"":""Wall of Fame Section"",""description"":""Select which Wall of Fame section to display""}},""required"":[""section_id""]}",true,50,69198d73e24ee13c2f4d916f,2025-11-16T08:38:11.181000,2025-11-18T10:01:23.263000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Form,form,Embed a form from the Form Management system,FileText,content,"{""form_slug"":""""}","[""default""]","{""type"":""object"",""properties"":{""form_slug"":{""type"":""string"",""title"":""Form"",""description"":""Select which form to display""}},""required"":[""form_slug""]}",true,10,691c43da8b9b2c0cc37c81c6,2025-11-18T10:00:58.929000,2025-11-18T10:00:58.929000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Text Overlay Image,text_overlay_image,"Single column layout with background image and customizable text overlay with positioning, border, and opacity controls",Image,media,,"[""default""]","{""type"":""object"",""properties"":{""backgroundImage"":{""type"":""string"",""format"":""uri"",""title"":""Background Image""},""header"":{""type"":""string"",""title"":""Header""},""text"":{""type"":""string"",""title"":""Text Content""},""textPosition"":{""type"":""string"",""enum"":[""left"",""right""],""title"":""Text Position""},""borderStyle"":{""type"":""string"",""enum"":[""none"",""solid"",""dashed"",""dotted""],""title"":""Border Style""},""borderColor"":{""type"":""string"",""title"":""Border Color""},""backgroundColor"":{""type"":""string"",""title"":""Background Color""},""opacity"":{""type"":""number"",""title"":""Background Opacity""}}}",true,8,691f17829130ecdca7cf0f79,2025-11-20T13:28:34.699000,2025-11-20T13:28:34.699000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
Table/Grid,table,Create customizable tables with configurable rows and columns,Table,content,"{""rows"":2,""cols"":2,""cells"":{},""borderColor"":""#e2e8f0"",""headerBgColor"":""#f8fafc""}","[""default""]",,true,100,691f1f4518d71adda8c9fc94,2025-11-20T14:01:41.308000,2025-11-20T14:01:41.308000,68efc2103e0a30fafad6dde8,mat.the.diver@googlemail.com,false
